age_band,num_people,max_vax,time_1,time_2,time_3,time_4,infection,infection_day
2,1,2,152,296,-1,-1,0,-1
2,1,2,101,275,-1,-1,0,-1
2,1,2,150,335,-1,-1,0,-1
2,1,2,90,255,-1,-1,0,-1
2,1,2,163,323,-1,-1,0,-1
2,1,2,119,301,-1,-1,0,-1
2,1,2,83,229,-1,-1,0,-1
2,1,2,180,258,-1,-1,0,-1
2,1,2,61,223,-1,-1,0,-1
2,1,2,141,235,-1,-1,0,-1
2,1,2,102,239,-1,-1,0,-1
2,1,2,87,313,-1,-1,0,-1
2,1,2,87,285,-1,-1,0,-1
2,1,2,63,326,-1,-1,0,-1
2,1,2,165,262,-1,-1,0,-1
2,1,2,109,327,-1,-1,0,-1
2,1,2,35,256,-1,-1,0,-1
2,1,2,78,295,-1,-1,0,-1
2,1,2,39,239,-1,-1,0,-1
2,1,2,157,228,-1,-1,0,-1
2,1,2,37,271,-1,-1,0,-1
2,1,2,80,258,-1,-1,0,-1
2,1,2,67,294,-1,-1,0,-1
2,1,2,81,284,-1,-1,0,-1
2,1,2,157,279,-1,-1,0,-1
2,1,2,176,303,-1,-1,0,-1
2,1,2,119,263,-1,-1,0,-1
2,1,2,139,252,-1,-1,0,-1
2,1,2,102,357,-1,-1,0,-1
2,1,2,100,304,-1,-1,0,-1
2,1,2,46,278,-1,-1,0,-1
2,1,2,58,216,-1,-1,0,-1
2,1,2,55,293,-1,-1,0,-1
2,1,2,65,331,-1,-1,0,-1
2,1,2,55,278,-1,-1,0,-1
2,1,2,56,252,-1,-1,0,-1
2,1,2,178,277,-1,-1,0,-1
2,1,2,74,318,-1,-1,0,-1
2,1,2,180,273,-1,-1,0,-1
2,1,2,53,229,-1,-1,0,-1
2,1,2,86,300,-1,-1,0,-1
2,1,2,54,279,-1,-1,0,-1
2,1,2,172,245,-1,-1,0,-1
2,1,2,143,310,-1,-1,0,-1
2,1,2,162,301,-1,-1,0,-1
2,1,2,167,299,-1,-1,0,-1
2,1,2,85,293,-1,-1,0,-1
2,1,2,73,302,-1,-1,0,-1
2,1,2,118,240,-1,-1,0,-1
2,1,2,59,299,-1,-1,0,-1
2,1,2,170,361,-1,-1,0,-1
2,1,2,53,295,-1,-1,0,-1
2,1,2,55,227,-1,-1,0,-1
2,1,2,175,272,-1,-1,0,-1
2,1,2,156,362,-1,-1,0,-1
2,1,2,68,299,-1,-1,0,-1
2,1,2,156,234,-1,-1,0,-1
2,1,2,162,353,-1,-1,0,-1
2,1,2,36,338,-1,-1,0,-1
2,1,2,137,294,-1,-1,0,-1
2,1,2,74,241,-1,-1,0,-1
2,1,2,92,220,-1,-1,0,-1
2,1,2,107,304,-1,-1,0,-1
2,1,2,111,307,-1,-1,0,-1
2,2,2,49,309,-1,-1,0,-1
2,1,2,114,270,-1,-1,0,-1
2,1,2,97,257,-1,-1,0,-1
2,1,2,51,356,-1,-1,0,-1
2,2,2,177,286,-1,-1,0,-1
2,1,2,67,296,-1,-1,0,-1
2,1,2,95,241,-1,-1,0,-1
2,1,2,37,256,-1,-1,0,-1
2,1,2,65,287,-1,-1,0,-1
2,1,2,147,294,-1,-1,0,-1
2,1,2,87,288,-1,-1,0,-1
2,1,2,40,334,-1,-1,0,-1
2,1,2,136,308,-1,-1,0,-1
2,1,2,173,327,-1,-1,0,-1
2,1,2,41,256,-1,-1,0,-1
2,1,2,68,253,-1,-1,0,-1
2,1,2,53,262,-1,-1,0,-1
2,1,2,76,220,-1,-1,0,-1
2,1,2,95,310,-1,-1,0,-1
